vehicleId,stationName,lineId,lineName,direction,timeToStation,towards
LTZ1608,Groveway,159,159,outbound,382,Elephant & Castle Or Imperial War Museum
LTZ1034,Jebb Avenue / Brixton Prison,159,159,inbound,1676,Clapham Park Or Streatham
LTZ1608,Windmill Row,159,159,outbound,793,Parliament Square Or Waterloo
LTZ1685,Lambeth North Station,159,159,outbound,791,Westminster Or Waterloo
LTZ1040,Villa Road,159,159,inbound,411,"Herne Hill, Streatham Hill Or Tulse Hill"
LTZ1019,Lambeth North Station,159,159,outbound,288,Westminster Or Waterloo
LTZ1168,Streatham Hill / Christchurch Road,159,159,inbound,887,"Crystal Palace, Norbury Or Tooting"
LTZ1019,Fitzalan Street,159,159,outbound,141,Parliament Square Or Waterloo
LTZ1608,Brixton Station,159,159,outbound,78,Kennington Oval
LTZ1168,Blenheim Gardens,159,159,inbound,504,Streatham
LTZ1682,Streatham Hill Stn  / Streatham Hill,159,159,inbound,451,"Crystal Palace, Norbury Or Tooting"
LTZ1609,Brixton Road / Brixton Police Station,159,159,outbound,1180,Lambeth Bridge Or Lambeth North
LTZ1030,Jebb Avenue / Brixton Prison,159,159,outbound,1174,Camberwell Or Kennington Church
LTZ1040,Rush Common,159,159,inbound,907,Clapham Park Or Streatham
LTZ1682,Streatham Station,159,159,inbound,980,null
LTZ1461,New Park Road,159,159,outbound,92,Camberwell Or Kennington Church
LTZ1608,Kennington Lane,159,159,outbound,869,Parliament Square
LTZ1168,Brixton Water Lane,159,159,inbound,432,Clapham Park Or Streatham
LTZ1030,Brixton Station,159,159,outbound,1589,Kennington Oval
LTZ1034,Villa Road,159,159,inbound,904,"Herne Hill, Streatham Hill Or Tulse Hill"
LTZ1461,Blenheim Gardens,159,159,outbound,243,Camberwell Or Kennington Church
LTZ1461,Lambeth Town Hall,159,159,outbound,386,Kennington Church
LTZ1639,Streatham Station,159,159,outbound,1311,Pollards Hill Or Streatham Hill
LTZ1608,Fitzalan Street,159,159,outbound,936,Parliament Square Or Waterloo
LTZ1034,St Mark's Church,159,159,inbound,431,Streatham Hill
LTZ1608,Vassall Road,159,159,outbound,538,Elephant & Castle Or Imperial War Museum
LTZ1040,Mount Ephraim Road,159,159,inbound,1627,"Mitcham, Norbury Or Tooting"
LTZ1034,Brixton Station,159,159,inbound,1483,Streatham Hill
LTZ1609,Jebb Avenue / Brixton Prison,159,159,outbound,634,Camberwell Or Kennington Church
LTZ1168,Jebb Avenue / Brixton Prison,159,159,inbound,552,Clapham Park Or Streatham
LTZ1461,Hillyard Street,159,159,outbound,877,Elephant & Castle Or Imperial War Museum
LTZ1032,St Leonard's Church,159,159,outbound,876,"Balham, Streatham Hill Or Tooting"
LTZ1608,Kennington Road / Imperial War Museum,159,159,outbound,994,Waterloo Or Parliament Sq Via Westminster Bridge
LTZ1609,Vassall Road,159,159,outbound,1507,Elephant & Castle Or Imperial War Museum
LTZ1168,New Park Road,159,159,inbound,631,Clapham Park Or Streatham
LTZ1030,Christchurch Road,159,159,outbound,990,Brixton Or Clapham Common
LTZ1019,Lower Marsh,159,159,outbound,365,Pimlico Or Trafalgar Square
LTZ1609,Villa Road,159,159,outbound,1231,Elephant & Castle Or Imperial War Museum
LTZ1040,Brixton Road / Brixton Police Station,159,159,inbound,525,Streatham Hill
LTZ1168,Rush Common,159,159,inbound,366,Clapham Park Or Streatham
LTZ1034,Brixton Water Lane,159,159,inbound,1544,Clapham Park Or Streatham
LTZ1682,St Leonard's Church,159,159,inbound,852,"Crystal Palace, Norbury Or Pollards Hill"
LTZ1685,Windmill Row,159,159,outbound,581,Parliament Square Or Waterloo
LTZ1032,Holmewood Road,159,159,outbound,1602,Camberwell Or Kennington Church
LTZ1461,St Mark's Church,159,159,outbound,1019,"Elephant & Castle, Lambeth Bdg Or Lambeth Nth"
LTZ1160,Windmill Row,159,159,inbound,493,Brixton
LTZ1034,Brixton Road / Brixton Police Station,159,159,inbound,1016,Streatham Hill
LTZ1685,Hillyard Street,159,159,outbound,151,Elephant & Castle Or Imperial War Museum
LTZ1168,Telford Avenue,159,159,inbound,830,"Crystal Palace, Norbury Or Tooting"
LTZ1168,Streatham Hill Stn  / Streatham Hill,159,159,inbound,920,"Crystal Palace, Norbury Or Tooting"
LTZ1160,Brixton Station,159,159,inbound,1606,Streatham Hill
LTZ1685,Lower Marsh,159,159,outbound,913,Pimlico Or Trafalgar Square
LTZ1168,Kingscourt Road,159,159,inbound,1074,"Mitcham, Norbury Or Tooting"
LTZ1682,Mount Ephraim Road,159,159,inbound,617,"Mitcham, Norbury Or Tooting"
LTZ1034,Groveway,159,159,inbound,719,"Herne Hill, Streatham Hill Or Tulse Hill"
LTZ1019,Kennington Road / Imperial War Museum,159,159,outbound,215,Waterloo Or Parliament Sq Via Westminster Bridge
LTZ1461,Kennington Lane,159,159,outbound,1375,Parliament Square
LTZ1040,Kingscourt Road,159,159,inbound,1670,"Mitcham, Norbury Or Tooting"
LTZ1609,Holmewood Road,159,159,outbound,516,Camberwell Or Kennington Church
LTZ1160,Vassall Road,159,159,inbound,1038,"Herne Hill, Streatham Hill Or Tulse Hill"
LTZ1609,Hillyard Street,159,159,outbound,1427,Elephant & Castle Or Imperial War Museum
LTZ1608,Loughborough Road,159,159,outbound,304,Kennington Oval
LTZ1685,Kennington Park Post Office,159,159,outbound,525,Parliament Square Or Waterloo
LTZ1682,Telford Avenue,159,159,inbound,362,"Crystal Palace, Norbury Or Tooting"
LTZ1461,Vassall Road,159,159,outbound,957,Elephant & Castle Or Imperial War Museum
LTZ1608,St Mark's Church,159,159,outbound,622,"Elephant & Castle, Lambeth Bdg Or Lambeth Nth"
LTZ1160,Brixton Road / Brixton Police Station,159,159,inbound,1406,Streatham Hill
