$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,direction,bearing,tripId,baseVersion,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing.$type,timing.countdownServerAdjustment,timing.source,timing.insert,timing.read,timing.sent,timing.received
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",90363800,1,LTZ1685,490014085N,Villa Road,159,159,RA,outbound,11,529,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,386,,Elephant & Castle Or Imperial War Museum,2026-02-07T15:58:02Z,2026-02-07T15:58:32Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0749725,2026-02-06T22:34:22.192Z,2026-02-07T15:52:03.38Z,2026-02-07T15:51:59.313Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",765332648,1,LTZ1461,490008642H,St Mark's Church,159,159,H,outbound,18,550,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,1662,,"Elephant & Castle, Lambeth Bdg Or Lambeth Nth",2026-02-07T16:19:18Z,2026-02-07T16:19:48Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0850150,2026-02-06T22:34:22.192Z,2026-02-07T15:51:23.337Z,2026-02-07T15:51:19.252Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-206455898,1,LTZ1168,490005234S,Streatham Hill / Christchurch Road,159,159,BH,inbound,189,694,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,1225,,"Crystal Palace, Norbury Or Tooting",2026-02-07T16:12:01Z,2026-02-07T16:12:31Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0710009,2026-02-06T22:34:22.192Z,2026-02-07T15:52:13.392Z,2026-02-07T15:52:09.326Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",917832775,1,LTZ1168,490008310S,Holmewood Road,159,159,BF,inbound,177,694,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,1120,,"Clapham Park, Streatham Common Or Tooting",2026-02-07T16:10:16Z,2026-02-07T16:10:46Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0607967,2026-02-06T22:34:22.192Z,2026-02-07T15:51:33.338Z,2026-02-07T15:51:29.253Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",363173486,1,LTZ1685,490009373N1,Loughborough Road,159,159,RB,outbound,357,529,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,447,,Kennington Oval,2026-02-07T15:59:03Z,2026-02-07T15:59:33Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0749725,2026-02-06T22:34:22.192Z,2026-02-07T15:52:03.38Z,2026-02-07T15:51:59.313Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",2115378561,1,LTZ1608,490004101N,Blenheim Gardens,159,159,BW,outbound,19,502,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,330,,Camberwell Or Kennington Church,2026-02-07T15:57:06Z,2026-02-07T15:57:36Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0671199,2026-02-06T22:34:22.192Z,2026-02-07T15:52:13.392Z,2026-02-07T15:52:09.326Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",166872482,1,LTZ1682,490001281D,Streatham Hill Stn  / Streatham Hill,159,159,D,inbound,187,664,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,1031,,"Crystal Palace, Norbury Or Tooting",2026-02-07T16:08:47Z,2026-02-07T16:09:17Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0671199,2026-02-06T22:34:22.192Z,2026-02-07T15:51:53.356Z,2026-02-07T15:51:49.29Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-59363617,1,LTZ1639,490001279W,Streatham Station,159,159,null,inbound,333,641,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,897,,null,2026-02-07T16:06:33Z,2026-02-07T16:07:03Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0766718,2026-02-06T22:34:22.192Z,2026-02-07T15:51:43.368Z,2026-02-07T15:51:39.284Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",291122888,1,LTZ1639,490005234S,Streatham Hill / Christchurch Road,159,159,BH,inbound,189,641,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,334,,"Crystal Palace, Norbury Or Tooting",2026-02-07T15:57:10Z,2026-02-07T15:57:40Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0582478,2026-02-06T22:34:22.192Z,2026-02-07T15:51:23.337Z,2026-02-07T15:51:19.252Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-736355052,1,LTZ1168,490013186S,Telford Avenue,159,159,W,inbound,182,694,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,1473,,"Crystal Palace, Norbury Or Tooting",2026-02-07T16:16:09Z,2026-02-07T16:16:39Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0664970,2026-02-06T22:34:22.192Z,2026-02-07T15:52:03.38Z,2026-02-07T15:51:59.313Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-647251117,1,LTZ1168,490015218S,New Park Road,159,159,BE,inbound,203,694,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,1067,,Clapham Park Or Streatham,2026-02-07T16:09:23Z,2026-02-07T16:09:53Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0607967,2026-02-06T22:34:22.192Z,2026-02-07T15:51:33.338Z,2026-02-07T15:51:29.253Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1552041031,1,LTZ1168,490001281D,Streatham Hill Stn  / Streatham Hill,159,159,D,inbound,187,694,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,1563,,"Crystal Palace, Norbury Or Tooting",2026-02-07T16:17:39Z,2026-02-07T16:18:09Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0664970,2026-02-06T22:34:22.192Z,2026-02-07T15:52:03.38Z,2026-02-07T15:51:59.313Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1223805446,1,LTZ1682,490008544S,Jebb Avenue / Brixton Prison,159,159,BD,inbound,201,664,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,571,,Clapham Park Or Streatham,2026-02-07T16:01:07Z,2026-02-07T16:01:37Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0844931,2026-02-06T22:34:22.192Z,2026-02-07T15:51:42.709Z,2026-02-07T15:51:38.802Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-184862646,1,LTZ1685,490009420W,Lower Marsh,159,159,A,outbound,293,529,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,1556,,Pimlico Or Trafalgar Square,2026-02-07T16:17:32Z,2026-02-07T16:18:02Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0664970,2026-02-06T22:34:22.192Z,2026-02-07T15:52:03.38Z,2026-02-07T15:51:59.313Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",2039345854,1,LTZ1168,490008765L,Kingscourt Road,159,159,L,inbound,182,694,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,1717,,"Mitcham, Norbury Or Tooting",2026-02-07T16:20:13Z,2026-02-07T16:20:43Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0785562,2026-02-06T22:34:22.192Z,2026-02-07T15:51:23.337Z,2026-02-07T15:51:19.252Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-240642188,1,LTZ1040,490011793S,Rush Common,159,159,BA,inbound,198,730,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,1359,,Clapham Park Or Streatham,2026-02-07T16:14:15Z,2026-02-07T16:14:45Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.1067295,2026-02-06T22:34:22.192Z,2026-02-07T15:52:03.38Z,2026-02-07T15:51:59.313Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",322107965,1,LTZ1461,490010078K,Mount Ephraim Road,159,159,K,outbound,13,550,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,134,,"Clapham Common, Brixton Or Tulse Hill",2026-02-07T15:53:50Z,2026-02-07T15:54:20Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0662894,2026-02-06T22:34:22.192Z,2026-02-07T15:52:03.086Z,2026-02-07T15:51:59.067Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-733703895,1,LTZ1609,490008310N,Holmewood Road,159,159,BT,outbound,357,570,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,1159,,Camberwell Or Kennington Church,2026-02-07T16:10:55Z,2026-02-07T16:11:25Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0621175,2026-02-06T22:34:22.192Z,2026-02-07T15:52:03.38Z,2026-02-07T15:51:59.313Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",987142657,1,LTZ1160,490008473S,Kennington Road / Imperial War Museum,159,159,S,inbound,177,348,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,224,,Brixton Or Pimlico,2026-02-07T15:55:20Z,2026-02-07T15:55:50Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0662894,2026-02-06T22:34:22.192Z,2026-02-07T15:52:03.086Z,2026-02-07T15:51:59.067Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1178277193,1,LTZ1618,490008643KH,Kennington Lane,159,159,KH,outbound,1,468,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,69,,Parliament Square,2026-02-07T15:52:45Z,2026-02-07T15:53:15Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0785562,2026-02-06T22:34:22.192Z,2026-02-07T15:51:33.338Z,2026-02-07T15:51:29.253Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1610086964,1,LTZ1461,490014013N,Vassall Road,159,159,RE,outbound,3,550,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,1600,,Elephant & Castle Or Imperial War Museum,2026-02-07T16:18:16Z,2026-02-07T16:18:46Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0798019,2026-02-06T22:34:22.192Z,2026-02-07T15:51:23.337Z,2026-02-07T15:51:19.252Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1658423877,1,LTZ1160,490000031P,Brixton Station,159,159,P,inbound,196,348,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,1343,,Streatham Hill,2026-02-07T16:13:59Z,2026-02-07T16:14:29Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0659163,2026-02-06T22:34:22.192Z,2026-02-07T15:51:53.356Z,2026-02-07T15:51:49.29Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
