vehicleId,stationName,lineId,lineName,direction,timeToStation,towards
LTZ1170,Kennington Park Post Office,159,159,outbound,1604,Parliament Square Or Waterloo
LTZ1627,St Mark's Church,159,159,inbound,313,Streatham Hill
LTZ1629,New Park Road,159,159,outbound,867,Camberwell Or Kennington Church
LTZ1625,Brixton Road / Brixton Police Station,159,159,inbound,139,Streatham Hill
LTZ1625,New Park Road,159,159,inbound,726,Clapham Park Or Streatham
LTZ1629,Christchurch Road,159,159,outbound,745,Brixton Or Clapham Common
LTZ1170,Kennington Lane,159,159,outbound,1757,Parliament Square
LTZ1154,Streatham Station,159,159,outbound,1203,Pollards Hill Or Streatham Hill
LTZ1463,Lambeth North Station,159,159,outbound,1046,Westminster Or Waterloo
LTZ1024,St Leonard's Church,159,159,outbound,591,"Balham, Streatham Hill Or Tooting"
LTZ1170,Loughborough Road,159,159,outbound,1036,Kennington Oval
LTZ1024,Brixton Station,159,159,outbound,1820,Kennington Oval
LTZ1627,Streatham Hill / Christchurch Road,159,159,inbound,1631,"Crystal Palace, Norbury Or Tooting"
LTZ1170,Hillyard Street,159,159,outbound,1175,Elephant & Castle Or Imperial War Museum
LTZ1170,Lambeth Town Hall,159,159,outbound,753,Kennington Church
LTZ1463,Vassall Road,159,159,outbound,491,Elephant & Castle Or Imperial War Museum
LTZ1627,Loughborough Road,159,159,inbound,625,"Herne Hill, Streatham Hill Or Tulse Hill"
LTZ1171,Kennington Lane,159,159,outbound,291,Parliament Square
LTZ1627,Brixton Station,159,159,inbound,971,Streatham Hill
LTZ1614,Rush Common,159,159,inbound,45,Clapham Park Or Streatham
LTZ1625,Brixton Station,159,159,inbound,296,Streatham Hill
LTZ1627,Telford Avenue,159,159,inbound,1705,"Crystal Palace, Norbury Or Tooting"
LTZ1614,Kingscourt Road,159,159,inbound,771,"Mitcham, Norbury Or Tooting"
LTZ1024,Becmead Avenue,159,159,outbound,765,Brixton Or Tulse Hill
LTZ1170,Holmewood Road,159,159,outbound,347,Camberwell Or Kennington Church
LTZ1024,Kingscourt Road,159,159,outbound,822,"Clapham Common, Brixton Or Tulse Hill"
LTZ1625,Streatham Station,159,159,inbound,1610,null
LTZ1170,Jebb Avenue / Brixton Prison,159,159,outbound,480,Camberwell Or Kennington Church
LTZ1627,Villa Road,159,159,inbound,688,"Herne Hill, Streatham Hill Or Tulse Hill"
LTZ1625,Streatham Hill Stn  / Streatham Hill,159,159,inbound,1030,"Crystal Palace, Norbury Or Tooting"
LTZ1625,Jebb Avenue / Brixton Prison,159,159,inbound,652,Clapham Park Or Streatham
LTZ1625,Brixton Water Lane,159,159,inbound,485,Clapham Park Or Streatham
LTZ1627,New Park Road,159,159,inbound,1446,Clapham Park Or Streatham
LTZ1627,Jebb Avenue / Brixton Prison,159,159,inbound,1363,Clapham Park Or Streatham
LTZ1625,Leigham Court Road,159,159,inbound,1088,Norbury
LTZ1614,Streatham Station,159,159,inbound,962,null
LTZ1627,Groveway,159,159,inbound,534,"Herne Hill, Streatham Hill Or Tulse Hill"
LTZ1629,Mount Ephraim Road,159,159,outbound,451,"Clapham Common, Brixton Or Tulse Hill"
LTZ1170,Rush Common,159,159,outbound,625,Camberwell Or Kennington Church
LTZ1627,Blenheim Gardens,159,159,inbound,1304,Streatham
LTZ1154,St Leonard's Church,159,159,outbound,1325,"Balham, Streatham Hill Or Tooting"
LTZ1170,Fitzalan Street,159,159,outbound,1804,Parliament Square Or Waterloo
LTZ1629,Hillyard Street,159,159,outbound,1682,Elephant & Castle Or Imperial War Museum
LTZ1170,Windmill Row,159,159,outbound,1705,Parliament Square Or Waterloo
LTZ1625,Blenheim Gardens,159,159,inbound,552,Streatham
LTZ1627,Kennington Park Post Office,159,159,inbound,102,Brixton
LTZ1629,Becmead Avenue,159,159,outbound,291,Brixton Or Tulse Hill
LTZ1614,Leigham Court Road,159,159,inbound,675,Norbury
LTZ1629,Rush Common,159,159,outbound,1156,Camberwell Or Kennington Church
LTZ1154,Mount Ephraim Road,159,159,outbound,1602,"Clapham Common, Brixton Or Tulse Hill"
LTZ1627,Holmewood Road,159,159,inbound,1499,"Clapham Park, Streatham Common Or Tooting"
LTZ1024,Holmewood Road,159,159,outbound,1274,Camberwell Or Kennington Church
LTZ1614,Telford Avenue,159,159,inbound,576,"Crystal Palace, Norbury Or Tooting"
LTZ1629,St Leonard's Church,159,159,outbound,176,"Balham, Streatham Hill Or Tooting"
LTZ1625,Rush Common,159,159,inbound,419,Clapham Park Or Streatham
LTZ1024,Mount Ephraim Road,159,159,outbound,863,"Clapham Common, Brixton Or Tulse Hill"
LTZ1614,Mount Ephraim Road,159,159,inbound,725,"Mitcham, Norbury Or Tooting"
LTZ1170,Villa Road,159,159,outbound,1096,Elephant & Castle Or Imperial War Museum
LTZ1024,Jebb Avenue / Brixton Prison,159,159,outbound,1380,Camberwell Or Kennington Church
LTZ1463,Loughborough Road,159,159,outbound,283,Kennington Oval
LTZ1614,Streatham Hill / Christchurch Road,159,159,inbound,496,"Crystal Palace, Norbury Or Tooting"
LTZ1625,Becmead Avenue,159,159,inbound,1191,Norbury
LTZ1627,Brixton Water Lane,159,159,inbound,1229,Clapham Park Or Streatham
LTZ1629,Villa Road,159,159,outbound,1352,Elephant & Castle Or Imperial War Museum
LTZ1629,Jebb Avenue / Brixton Prison,159,159,outbound,928,Camberwell Or Kennington Church
LTZ1463,Kennington Park Post Office,159,159,outbound,689,Parliament Square Or Waterloo
LTZ1463,Hillyard Street,159,159,outbound,395,Elephant & Castle Or Imperial War Museum
LTZ1627,Brixton Road / Brixton Police Station,159,159,inbound,784,Streatham Hill
LTZ1629,Holmewood Road,159,159,outbound,810,Camberwell Or Kennington Church
LTZ1463,Kennington Road / Imperial War Museum,159,159,outbound,978,Waterloo Or Parliament Sq Via Westminster Bridge
LTZ1170,Groveway,159,159,outbound,1119,Elephant & Castle Or Imperial War Museum
LTZ1463,St Mark's Church,159,159,outbound,592,"Elephant & Castle, Lambeth Bdg Or Lambeth Nth"
